date,bpla_24h
2026-08-01,743
2026-08-02,1158
2026-08-03,651
2026-08-04,753
2026-08-05,1083
2026-08-06,1155
2026-08-07,1150
2026-08-08,828
2026-08-09,970
2026-08-10,1134
2026-08-11,931
2026-08-12,1061
2026-08-13,1150
2026-08-14,774
2026-08-15,1328
2026-08-16,1478
2026-08-17,797
2026-08-18,1671
2026-08-19,965
2026-08-20,1504
2026-08-21,536
2026-08-22,1053
2026-08-23,1120
2026-08-24,988
2026-08-25,460
2026-08-26,798
2026-08-27,591
2026-08-28,624
2026-08-29,715
2026-08-30,804
2026-08-31,766
2026-09-01,1050
2026-09-02,464
2026-09-03,998
2026-09-04,916
2026-09-05,763
2026-09-06,400
2026-09-07,287
2026-09-08,713
2026-09-09,1185
2026-09-10,556
2026-09-11,874
2026-09-12,670
2026-09-13,902
2026-09-14,1025
2026-09-15,244
2026-09-16,258
2026-09-17,956
2026-09-18,957
2026-09-19,1951
